Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1962464,-5.11,4.54,-1,-117.35,139.82,-64.82
1962471,-5.08,4.38,-1.01,-122.5,142.47,-71.2
1962478,-5.16,4.15,-0.98,-125.46,144.95,-77.37
1962485,-5.32,3.93,-0.95,-129.67,147.11,-82.38
1962492,-5.47,3.67,-0.94,-132.37,149.58,-85.39
1962499,-5.7,3.37,-0.98,-136.25,151.7,-90.73
1962506,-5.84,3.12,-1.09,-139.97,153.89,-97.83
1962513,-6,2.93,-1.26,-144.7,156.13,-105.86
1962520,-6.13,2.83,-1.49,-147.74,157.79,-112.09
1962527,-6.2,2.62,-1.68,-153.66,159.33,-119.91
1962534,-6.12,2.39,-1.96,-156.65,161.01,-125.4
1962541,-6.01,2.3,-2.17,-161.67,162.15,-135.98
1962548,-5.94,2.27,-2.28,-166.85,162.66,-147.93
1962555,-5.78,2.32,-2.4,-172.68,163.41,-161.55
1962562,-5.58,2.3,-2.64,-179.75,163.46,-174.83
1962569,-5.43,2.12,-2.96,-185.97,163.03,-189.27
1962576,-5.36,1.99,-3.23,-189.64,162.17,-202.62
1962583,-5.31,1.64,-3.56,-196.31,160.69,-218.84
1962590,2.05,8.73,-5.28,-195,150.39,-227.99
1962597,1.22,10.12,-1.56,-189.39,133.78,-178.13
1962604,1.11,19.75,-3.77,-165.25,112.47,-96.32
1962611,3.94,13.57,-7.62,-127.83,87.1,-70.89
1962618,3.73,11.84,-6.96,-87.56,58.44,-82.3
1962625,2.43,16.98,-6.23,-41.5,30.15,-83.43
1962632,-0.13,5.71,-5.67,-4.49,5.29,-73.69
1962639,-2.1,4.79,-5.61,23.22,-14.63,-63.11
1962646,-3.92,-2.39,-5.04,44.19,-28.79,-21.27
1962653,-3.46,-4.04,-4.14,57.9,-39.35,53.72
1962660,-3.5,-2.85,-3.33,67.62,-47.51,100.64
1962667,-4.85,-4.36,-2.53,75.63,-53.23,111.01
1962674,-6.56,-2.4,-3.03,78.71,-55.52,90.18
1962681,-7.22,-2.9,-4.68,81.44,-57.12,69.45
1962688,-7.1,-2.94,-6.16,82.18,-56.76,72.15
1962695,-5.92,0.24,-6.51,82.48,-55.64,90.86
1962702,-4.82,0.49,-5.62,83.99,-54.05,105.21
1962709,-4.08,2.54,-4.59,80.99,-52.08,112.66
1962716,-3.57,4.2,-4.05,79.23,-49.77,119.6
1962723,-2.84,3.91,-4.94,77.37,-46.67,114.33
1962730,-2.41,6.21,-6.85,74.2,-43.87,87.35
1962737,-2.88,5.27,-8.15,73.36,-40.26,69.52
1962744,-3.61,6.22,-8.96,69.98,-37.04,67.63
1962751,-4.27,6.84,-8.67,67.54,-33.06,72.1
1962758,-4.42,5.33,-7.22,62.85,-29.29,77.36
1962765,-4.17,6.46,-6.27,60.07,-25.96,73.52
1962772,-4.38,3.73,-5.6,56.08,-22.64,52.56
1962806,-8.1,0.35,-2.42,42.11,-5.37,49.67
1962813,-7.55,0.12,-2.66,38.17,-2.85,37.53
1962820,-7.02,-0.07,-3.22,35.11,0.66,30.26
1962827,-7.33,-2.43,-3.4,34.03,3.28,32.72
1962834,-7.56,-1.15,-3.31,30.41,6.56,36.74
1962841,-7.8,0.47,-2.9,28.81,9.75,38.66
1962848,-7.8,1.13,-2.56,28.11,12.61,31.81
1962855,-7.06,1.89,-3.23,26.21,15.64,23.84
1962862,-6.21,0.89,-4.29,24.61,18.21,20.25
1962869,-5.93,0.42,-4.53,23.22,20.63,25.33
1962876,-6.22,2,-4.16,22.7,22.79,36.01
1962883,-5.98,4.01,-3.99,23.15,24.62,35.27
1962890,-5.47,4.75,-4.49,23.85,26.78,26.07
1962897,-4.73,4.5,-5.42,22.8,28.4,20.89
1962904,-3.97,5.07,-6.45,21.69,29.29,21.92
1962911,-3.92,4.24,-6.57,20.49,30.32,26.36
1962918,-4.44,4.75,-5.91,21.48,30.92,30.87
1962925,-5.05,6.06,-5.21,22.58,31.51,27.67
1962932,-5.57,4.08,-4.69,23.18,31.77,24.72
1962939,-5.73,3.59,-4.6,21.94,32.18,25.62
1962946,-5.69,3.79,-4.48,23.13,32.09,30.17
1962953,-6.05,2.48,-4.09,24.05,31.9,35.57
1962960,-6.24,3.72,-3.86,24.72,31.5,36.34
1962967,-6.41,3.95,-4.01,27.54,31.15,32.32
1962974,-6.37,3.11,-4.54,28.13,31.07,30.74
1962981,-6.14,3.39,-4.96,29.63,30.61,33.51
1962988,-6.21,3.3,-4.81,30.84,30.18,39.14
1962995,-6.37,2.91,-4.17,31.99,29.56,43.41
1963002,-6.61,3.32,-3.36,32.32,29.25,44.32
1963009,-6.93,3.92,-2.85,34.68,28.73,43.78
1963016,-6.92,3.87,-3.27,35.93,28.36,45.84
1963023,-6.75,2.75,-3.87,36.78,27.75,52.71
1963030,-6.7,3.4,-4.53,37.64,27.03,58.05
1963037,-6.95,4.07,-4.8,40.7,26.67,59.84
1963044,-7.07,4.06,-4.68,43.78,26.24,57.08
1963051,-6.91,4.7,-4.44,45.22,25.74,57.83
1963058,-6.4,4.7,-4.15,47.96,24.93,62.42
1963065,-6.3,3.58,-3.85,47.66,24.31,66.15
1963072,-6.26,5.02,-3.82,48.4,23.53,71.33
1963079,-6.6,4.9,-3.8,51.62,22.85,73.82
1963086,-7.09,4.42,-4.07,53.02,22.25,72.84
1963093,-7.35,5.27,-4.62,55.34,21.87,74.86
1963100,-7.41,4.71,-4.84,57.32,21.03,78.41
1963107,-7.22,5.51,-4.87,58.26,20.57,82.27
1963114,-6.56,6.1,-4.8,61.45,19.78,85.52
1963121,-6.28,5.09,-4.41,63.07,18.81,88.21
1963128,-6.04,6.27,-4.23,65.03,17.89,90.63
1963135,-5.97,6.64,-4.27,66.07,17,93.24
1963142,-6.31,6.17,-4.48,68.02,15.97,95.95
1963149,-6.53,6.66,-4.96,69.4,15.15,100.22
1963156,-7.09,6.23,-4.97,72.35,14.11,102.68
1963163,-7.54,6.62,-4.75,74.19,13.24,104.22
1963170,-7.68,6.88,-4.39,75.39,12.1,106.18
1963177,-7.64,6.47,-3.9,77.77,11.07,109.98
1963184,-7.54,6.78,-3.54,78.11,9.91,113.24
1963191,-7.45,6.84,-3.39,80.98,8.69,116.58
1963198,-7.54,7.07,-3.57,83.05,7.24,118.63
1963205,-7.68,7.34,-3.84,86.23,5.93,121.57
1963212,-7.91,7.27,-4.08,87.89,4.49,125.04
1963219,-8.1,7.69,-4.11,89.25,2.96,128.16
1963226,-8.2,7.81,-3.91,90.55,1.64,131.25
1963233,-8.17,7.89,-3.56,92.07,0,132.76
1963267,-8.31,8.99,-3.43,102.2,-8.5,142.74
1963274,-8.22,9.21,-3.71,104.36,-10.63,145.01
1963281,-8.12,9.46,-3.74,108.2,-12.94,147.92
1963288,-7.84,9.78,-3.61,111.15,-15.23,149.82
1963295,-7.31,10.17,-3.62,113.48,-17.71,151.02
1963302,-6.95,10.55,-3.62,115.67,-20.67,151.49
1963309,-6.72,10.45,-3.78,117.75,-23.53,154.3
1963316,-6.7,10.59,-3.88,120.35,-26.75,155.9
1963323,-6.72,11.06,-3.98,122.5,-29.55,156.35
1963330,-6.73,11.4,-4.1,124.01,-32.89,156.38
1963337,-6.96,11.46,-3.93,125.89,-36.6,156.83
1963344,-7.03,11.72,-3.71,128.16,-39.81,159.52
1963351,-7.09,12.17,-3.33,130.26,-43.33,160.06
