# Time (s),Thrust (N),Drag force (N)
1.613,14.71,-5.805e-6
1.62,14.706,-2.309e-6
1.626,14.702,-5.228e-7
1.627,0,0.779
1.856,0,0.779
2.061,0,0.704
2.289,0,0.762
2.504,0,0.85
2.712,0,0.95
2.929,0,1.034
3.149,0,1.14
3.396,0,1.183
3.673,0,1.234
4.007,0,1.277
